source,invoice_date,provider,status,amount_usd,amount_nok_paid,invoice_url,matched_purchase_date,matched_posting_date,card_description,statement_invoice_number,source_pdf,recommended_booking,notes
Cursor,2025-11-21,Cursor,paid,100.34,1054.42,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UU3plb3NnWlRjQVgyYkRQempVTURyU2hRaFdZUEpqLDE2NjAwNTIxMQ02009o0TZgqs?s=ap,2025-11-21,2025-11-22,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-18,Cursor,paid,100.18,1033.59,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUmpLc3FVbTNsa3NzdFdHR0xEczJQOW5xSmVvdmNtLDE2NjAwNTIxMQ0200JbRQRTgq?s=ap,2025-11-18,2025-11-19,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-16,Cursor,paid,100.23,1033.10,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUXIzbVRXM29ISTMxenZuMGdOdG03ZEIwb3lzbkhnLDE2NjAwNTIxMQ0200OCxYKh94?s=ap,2025-11-16,2025-11-16,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-15,Cursor,paid,100.03,1031.03,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUU5taHN0ZUpLeHd2VGdFZWFwU3kxM0M2QU9PaW40LDE2NjAwNTIxMQ0200zN1jay6Y?s=ap,2025-11-15,2025-11-15,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-14,Cursor,paid,100.44,1034.03,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUTkzdzVuOXBxVWNneXNVblA4MDdVOXg0b0lCSHhLLDE2NjAwNTIxMQ0200VQYQN1YK?s=ap,2025-11-14,2025-11-14,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-11,Cursor,paid,100.03,1039.94,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UUENmaWxmVDUzSm9hVVRWTEJNMjRtY1ZMMjRGbmZTLDE2NjAwNTIxMQ0200Br871aI7?s=ap,2025-11-11,2025-11-12,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-07,Cursor,paid,100.07,1045.03,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTlhEVHJsUWtVRGEzNG1IcjZiOWtWVGNwdHJJcXVzLDE2NjAwNTIxMQ0200wlsPiBh4?s=ap,2025-11-07,2025-11-07,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-07,Cursor,paid,101.68,1061.84,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTk9KSnFhYVBWZUsxREdLcWxvVUdYbEZ2bVFNbmNqLDE2NjAwNTIxMQ0200YIS1nwBZ?s=ap,2025-11-07,2025-11-07,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-06,Cursor,paid,100.20,1048.32,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTk1QUjJwVVd4WTZiRzFvWXpYaTlwWnpPdkxTemtYLDE2NjAwNTIxMA0200Zs3LJlTw?s=ap,2025-11-06,2025-11-07,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-06,Cursor,paid,100.74,1053.97,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTktRQlNKWXozOFM2QnloMktjOVNWTEo4VlJOWDc5LDE2NjAwNTIxMA0200R5HslVAs?s=ap,2025-11-06,2025-11-07,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
